site,site_number,sampling_date,sampling_method,transect_number,end_distance,species_ID,species,start_distance_from_upper_transect,end_distance_from_upper_transect,total_distance
OldSitka,4,12-Aug-22,Line Intercept Transect,3,20,FUDI,Fucus dischitus,12.202,12.223,0.021
OldSitka,4,12-Aug-22,Line Intercept Transect,3,20,FUDI,Fucus dischitus,12.408,12.459,0.051
Eagle,5,14-Aug-22,Line Intercept Transect,1,20,FUDI,Fucus dischitus,0.726,0.991,0.265
Eagle,5,14-Aug-22,Line Intercept Transect,1,20,FUDI,Fucus dischitus,1.017,1.174,0.157
Eagle,5,14-Aug-22,Line Intercept Transect,1,20,ZOMA,Zostera marina,1.174,1.178,0.004
Eagle,5,14-Aug-22,Line Intercept Transect,1,20,FUDI,Fucus dischitus,1.233,1.367,0.134
Eagle,5,14-Aug-22,Line Intercept Transect,1,20,FUDI,Fucus dischitus,1.786,1.825,0.039
Eagle,5,14-Aug-22,Line Intercept Transect,1,20,FUDI,Fucus dischitus,1.865,1.948,0.083
Eagle,5,14-Aug-22,Line Intercept Transect,1,20,FUDI,Fucus dischitus,2.131,2.143,0.012
Eagle,5,14-Aug-22,Line Intercept Transect,1,20,FUDI,Fucus dischitus,18.36,18.4,0.04
Eagle,5,14-Aug-22,Line Intercept Transect,1,20,FUDI,Fucus dischitus,18.833,19.048,0.215
Eagle,5,14-Aug-22,Line Intercept Transect,2,20,FUDI,Fucus dischitus,0.438,0.577,0.139
Eagle,5,14-Aug-22,Line Intercept Transect,2,20,FUDI,Fucus dischitus,0.579,0.599,0.02
Eagle,5,14-Aug-22,Line Intercept Transect,2,20,FUDI,Fucus dischitus,0.645,0.69,0.045
Eagle,5,14-Aug-22,Line Intercept Transect,2,20,FUDI,Fucus dischitus,0.793,0.806,0.013
Eagle,5,14-Aug-22,Line Intercept Transect,2,20,FUDI,Fucus dischitus,0.976,1.036,0.06
Eagle,5,14-Aug-22,Line Intercept Transect,2,20,FUDI,Fucus dischitus,1.897,1.913,0.016
Eagle,5,14-Aug-22,Line Intercept Transect,2,20,FUDI,Fucus dischitus,1.968,2.009,0.041
Eagle,5,14-Aug-22,Line Intercept Transect,2,20,ZOMA,Zostera marina,2.066,2.068,0.002
Eagle,5,14-Aug-22,Line Intercept Transect,2,20,FUDI,Fucus dischitus,2.071,2.103,0.032
Eagle,5,14-Aug-22,Line Intercept Transect,2,20,FUDI,Fucus dischitus,2.131,2.162,0.031
Eagle,5,14-Aug-22,Line Intercept Transect,2,20,ZOMA,Zostera marina,3.253,3.27,0.017
Eagle,5,14-Aug-22,Line Intercept Transect,2,20,FISH,Fish (Halibut),6.995,7.034,0.039
Eagle,5,14-Aug-22,Line Intercept Transect,3,20,WOOD,Wood,0.113,0.134,0.021
Eagle,5,14-Aug-22,Line Intercept Transect,3,20,FUDI,Fucus dischitus,1.017,1.024,0.007
Eagle,5,14-Aug-22,Line Intercept Transect,3,20,FUDI,Fucus dischitus,1.058,1.072,0.014
Eagle,5,14-Aug-22,Line Intercept Transect,3,20,FUDI,Fucus dischitus,1.082,1.092,0.01
Eagle,5,14-Aug-22,Line Intercept Transect,3,20,FUDI,Fucus dischitus,1.426,1.457,0.031
Eagle,5,14-Aug-22,Line Intercept Transect,3,20,FUDI,Fucus dischitus,1.495,1.517,0.022
Harbor,6,16-Aug-22,Line Intercept Transect,1,20,FUDI,Fucus dischitus,0.38,0.395,0.015
Harbor,6,16-Aug-22,Line Intercept Transect,1,20,FUDI,Fucus dischitus,0.794,0.82,0.026
Harbor,6,16-Aug-22,Line Intercept Transect,1,20,ZOMA,Zostera marina,0.947,0.958,0.011
Harbor,6,16-Aug-22,Line Intercept Transect,1,20,FUDI,Fucus dischitus,0.958,0.967,0.009
Harbor,6,16-Aug-22,Line Intercept Transect,1,20,NELA,Neorhodomela larix,0.992,1.011,0.019
Harbor,6,16-Aug-22,Line Intercept Transect,1,20,ZOMA,Zostera marina,1.011,1.039,0.028
Harbor,6,16-Aug-22,Line Intercept Transect,1,20,DEAC,Desmarestia aculeata,1.039,1.048,0.009
Harbor,6,16-Aug-22,Line Intercept Transect,1,20,ZOMA,Zostera marina,1.048,1.226,0.178
Harbor,6,16-Aug-22,Line Intercept Transect,1,20,ZOMA,Zostera marina,1.257,1.619,0.362
Harbor,6,16-Aug-22,Line Intercept Transect,1,20,FUDI,Fucus dischitus,1.619,1.739,0.12
Harbor,6,16-Aug-22,Line Intercept Transect,1,20,FUDI,Fucus dischitus,2.392,2.571,0.179
Harbor,6,16-Aug-22,Line Intercept Transect,1,20,FUDI,Fucus dischitus,2.613,2.64,0.027
Harbor,6,16-Aug-22,Line Intercept Transect,1,20,ZOMA,Zostera marina,2.64,2.686,0.046
Harbor,6,16-Aug-22,Line Intercept Transect,1,20,FUDI,Fucus dischitus,2.686,2.713,0.027
Harbor,6,16-Aug-22,Line Intercept Transect,1,20,ZOMA,Zostera marina,2.713,2.804,0.091
Harbor,6,16-Aug-22,Line Intercept Transect,1,20,WOOD,Wood,2.99,3.05,0.06
Harbor,6,16-Aug-22,Line Intercept Transect,1,20,ZOMA,Zostera marina,3.05,3.106,0.056
Harbor,6,16-Aug-22,Line Intercept Transect,1,20,FUDI,Fucus dischitus,3.108,3.175,0.067
Harbor,6,16-Aug-22,Line Intercept Transect,1,20,FUDI,Fucus dischitus,3.464,3.472,0.008
Harbor,6,16-Aug-22,Line Intercept Transect,1,20,FUDI,Fucus dischitus,3.584,3.609,0.025
Harbor,6,16-Aug-22,Line Intercept Transect,1,20,FUDI,Fucus dischitus,3.66,3.818,0.158
Harbor,6,16-Aug-22,Line Intercept Transect,1,20,PAPA,Palmaria palmata,4.642,4.66,0.018
Harbor,6,16-Aug-22,Line Intercept Transect,1,20,NELA,Neorhodomela larix,4.727,4.733,0.006
Harbor,6,16-Aug-22,Line Intercept Transect,1,20,FUDI,Fucus dischitus,4.89,5.129,0.239
Harbor,6,16-Aug-22,Line Intercept Transect,1,20,ZOMA,Zostera marina,5.129,5.165,0.036
Harbor,6,16-Aug-22,Line Intercept Transect,1,20,FUDI,Fucus dischitus,5.165,5.23,0.065
Harbor,6,16-Aug-22,Line Intercept Transect,1,20,PAPA,Palmaria palmata,7.172,7.204,0.032
Harbor,6,16-Aug-22,Line Intercept Transect,1,20,ZOMA,Zostera marina,8.432,8.446,0.014
Harbor,6,16-Aug-22,Line Intercept Transect,1,20,PAPA,Palmaria palmata,12.41,12.483,0.073
Harbor,6,16-Aug-22,Line Intercept Transect,2,20,FUDI,Fucus dischitus,1.233,1.259,0.026
Harbor,6,16-Aug-22,Line Intercept Transect,2,20,FUDI,Fucus dischitus,2.042,2.086,0.044
Harbor,6,16-Aug-22,Line Intercept Transect,2,20,ZOMA,Zostera marina,2.214,2.226,0.012
