site_name,site_number,sampling_date,transect_number,distance_from_upper_transect,number_of_individuals_in_sample,species_ID,species,length,mass,notes
Magic,2,9-Aug-22,1,3,42,TRTR,Traskorchestia traskiana,15.26,0.084,
Magic,2,9-Aug-22,1,3,42,TRTR,Traskorchestia traskiana,14.09,0.0762,
Magic,2,9-Aug-22,1,3,42,TRTR,Traskorchestia traskiana,20.39,0.1737,
Magic,2,9-Aug-22,1,3,42,TRTR,Traskorchestia traskiana,17.47,0.1377,
Magic,2,9-Aug-22,1,3,42,TRTR,Traskorchestia traskiana,19.89,0.1649,
Magic,2,9-Aug-22,1,3,42,TRTR,Traskorchestia traskiana,17.79,0.159,
Magic,2,9-Aug-22,1,3,42,TRTR,Traskorchestia traskiana,15.51,0.0938,
Magic,2,9-Aug-22,1,3,42,TRTR,Traskorchestia traskiana,14.91,0.0989,
Magic,2,9-Aug-22,1,3,42,TRTR,Traskorchestia traskiana,11.6,0.0345,
Magic,2,9-Aug-22,1,3,42,TRTR,Traskorchestia traskiana,11.22,0.0412,
Magic,2,9-Aug-22,1,3,42,TRTR,Traskorchestia traskiana,10.75,0.0457,
Magic,2,9-Aug-22,1,3,42,TRTR,Traskorchestia traskiana,10.28,0.0299,
Magic,2,9-Aug-22,1,3,42,TRTR,Traskorchestia traskiana,13.6,0.0891,
Magic,2,9-Aug-22,1,3,42,TRTR,Traskorchestia traskiana,9.99,0.0274,
Magic,2,9-Aug-22,1,3,42,TRTR,Traskorchestia traskiana,10.37,0.0749,
Magic,2,9-Aug-22,1,3,42,TRTR,Traskorchestia traskiana,13.22,0.0706,
Magic,2,9-Aug-22,1,3,42,TRTR,Traskorchestia traskiana,12.07,0.05,
Magic,2,9-Aug-22,1,3,42,TRTR,Traskorchestia traskiana,14.23,0.0933,
Magic,2,9-Aug-22,1,3,42,TRTR,Traskorchestia traskiana,17.87,0.1651,
Magic,2,9-Aug-22,1,3,42,TRTR,Traskorchestia traskiana,10.78,0.0496,
Magic,2,9-Aug-22,1,3,42,TRTR,Traskorchestia traskiana,10.89,0.0482,
Magic,2,9-Aug-22,1,3,42,TRTR,Traskorchestia traskiana,10.85,0.0289,
Magic,2,9-Aug-22,1,3,42,TRTR,Traskorchestia traskiana,11.29,0.0375,
Magic,2,9-Aug-22,1,3,42,TRTR,Traskorchestia traskiana,7.33,0.0115,
Magic,2,9-Aug-22,1,3,42,TRTR,Traskorchestia traskiana,11.99,0.0432,
Magic,2,9-Aug-22,1,3,42,TRTR,Traskorchestia traskiana,7.08,0.0095,
Magic,2,9-Aug-22,1,3,42,TRTR,Traskorchestia traskiana,7.11,0.0092,
Magic,2,9-Aug-22,1,3,42,TRTR,Traskorchestia traskiana,NA,NA,
Magic,2,9-Aug-22,1,3,42,TRTR,Traskorchestia traskiana,NA,NA,
Magic,2,9-Aug-22,1,3,42,TRTR,Traskorchestia traskiana,NA,NA,
Magic,2,9-Aug-22,1,3,42,ISOPOD,NA,6.54,0.0088,
Magic,2,9-Aug-22,1,3,42,ISOPOD,NA,6.1,0.0067,
Magic,2,9-Aug-22,1,3,42,ISOPOD,NA,6.91,0.0046,
Magic,2,9-Aug-22,1,3,42,ISOPOD,NA,6.89,0.0103,
Magic,2,9-Aug-22,1,3,42,ISOPOD,NA,6.74,0.0097,
Magic,2,9-Aug-22,1,3,42,ISOPOD,NA,6.39,0.0062,
Magic,2,9-Aug-22,1,3,42,ISOPOD,NA,6.96,0.0092,
Magic,2,9-Aug-22,1,3,42,ISOPOD,NA,NA,NA,
Magic,2,9-Aug-22,1,3,42,ISOPOD,NA,NA,NA,
Magic,2,9-Aug-22,1,4,44,TRTR,Traskorchestia traskiana,12.98,0.0668,
Magic,2,9-Aug-22,1,4,44,TRTR,Traskorchestia traskiana,10.1,0.033,
Magic,2,9-Aug-22,1,4,44,TRTR,Traskorchestia traskiana,12.05,0.0504,
Magic,2,9-Aug-22,1,4,44,TRTR,Traskorchestia traskiana,14.42,0.1,
Magic,2,9-Aug-22,1,4,44,TRTR,Traskorchestia traskiana,14.67,0.0815,
Magic,2,9-Aug-22,1,4,44,TRTR,Traskorchestia traskiana,3.93,0.0015,
Magic,2,9-Aug-22,1,4,44,TRTR,Traskorchestia traskiana,14.4,0.0728,
Magic,2,9-Aug-22,1,4,44,TRTR,Traskorchestia traskiana,14.57,0.0813,
Magic,2,9-Aug-22,1,4,44,TRTR,Traskorchestia traskiana,12.82,0.043,
Magic,2,9-Aug-22,1,4,44,TRTR,Traskorchestia traskiana,15.21,0.0999,
Magic,2,9-Aug-22,1,4,44,TRTR,Traskorchestia traskiana,4.53,0.0018,
Magic,2,9-Aug-22,1,4,44,TRTR,Traskorchestia traskiana,9.96,0.0245,
Magic,2,9-Aug-22,1,4,44,TRTR,Traskorchestia traskiana,10.21,0.0241,
Magic,2,9-Aug-22,1,4,44,TRTR,Traskorchestia traskiana,10.62,0.0239,
Magic,2,9-Aug-22,1,4,44,TRTR,Traskorchestia traskiana,16.22,0.075,
Magic,2,9-Aug-22,1,4,44,TRTR,Traskorchestia traskiana,11.31,0.0454,
Magic,2,9-Aug-22,1,4,44,TRTR,Traskorchestia traskiana,15.51,0.0734,
Magic,2,9-Aug-22,1,4,44,TRTR,Traskorchestia traskiana,15.13,0.0836,
Magic,2,9-Aug-22,1,4,44,TRTR,Traskorchestia traskiana,14.35,0.0815,
Magic,2,9-Aug-22,1,4,44,TRTR,Traskorchestia traskiana,12.19,0.0524,
Magic,2,9-Aug-22,1,4,44,TRTR,Traskorchestia traskiana,3.08,0.0026,
Magic,2,9-Aug-22,1,4,44,TRTR,Traskorchestia traskiana,5,0.0059,
Magic,2,9-Aug-22,1,4,44,TRTR,Traskorchestia traskiana,NA,NA,
Magic,2,9-Aug-22,1,4,44,TRTR,Traskorchestia traskiana,NA,NA,
Magic,2,9-Aug-22,1,4,44,TRTR,Traskorchestia traskiana,11.88,0.0553,
Magic,2,9-Aug-22,1,4,44,TRTR,Traskorchestia traskiana,17.76,0.1172,
Magic,2,9-Aug-22,1,4,44,TRTR,Traskorchestia traskiana,12.62,0.0522,
Magic,2,9-Aug-22,1,4,44,TRTR,Traskorchestia traskiana,11.44,0.0381,
Magic,2,9-Aug-22,1,4,44,TRTR,Traskorchestia traskiana,17.22,0.1166,
Magic,2,9-Aug-22,1,4,44,TRTR,Traskorchestia traskiana,5.37,0.003,
Magic,2,9-Aug-22,1,4,44,TRTR,Traskorchestia traskiana,4.04,0.0015,
Magic,2,9-Aug-22,1,4,44,TRTR,Traskorchestia traskiana,NA,NA,
Magic,2,9-Aug-22,1,4,44,TRTR,Traskorchestia traskiana,6,0.0049,
Magic,2,9-Aug-22,1,4,44,TRTR,Traskorchestia traskiana,NA,NA,
Magic,2,9-Aug-22,1,4,44,TRTR,Traskorchestia traskiana,5.23,0.0055,
Magic,2,9-Aug-22,1,4,44,TRTR,Traskorchestia traskiana,6.26,0.0073,
Magic,2,9-Aug-22,1,4,44,TRTR,Traskorchestia traskiana,12.24,0.0703,
Magic,2,9-Aug-22,1,4,44,TRTR,Traskorchestia traskiana,6.8,0.0083,
Magic,2,9-Aug-22,1,4,44,TRTR,Traskorchestia traskiana,NA,NA,
Magic,2,9-Aug-22,1,4,44,TRTR,Traskorchestia traskiana,4.33,0.0027,
Magic,2,9-Aug-22,1,4,44,TRTR,Traskorchestia traskiana,6.36,0.0058,
Magic,2,9-Aug-22,1,4,44,TRTR,Traskorchestia traskiana,7.46,0.0136,
Magic,2,9-Aug-22,1,4,44,TRTR,Traskorchestia traskiana,5.99,0.0074,
Magic,2,9-Aug-22,1,4,44,ISOPOD,NA,4.8,0.0049,
Magic,2,9-Aug-22,1,5,41,TRTR,Traskorchestia traskiana,13.74,0.0667,
Magic,2,9-Aug-22,1,5,41,TRTR,Traskorchestia traskiana,6.24,0.0058,
Magic,2,9-Aug-22,1,5,41,TRTR,Traskorchestia traskiana,5.61,0.0041,
Magic,2,9-Aug-22,1,5,41,TRTR,Traskorchestia traskiana,9.04,0.0204,
Magic,2,9-Aug-22,1,5,41,TRTR,Traskorchestia traskiana,5.53,0.0056,
Magic,2,9-Aug-22,1,5,41,TRTR,Traskorchestia traskiana,11.47,0.0371,
Magic,2,9-Aug-22,1,5,41,TRTR,Traskorchestia traskiana,6.87,0.0078,
Magic,2,9-Aug-22,1,5,41,TRTR,Traskorchestia traskiana,11.02,0.0308,
Magic,2,9-Aug-22,1,5,41,TRTR,Traskorchestia traskiana,10.33,0.0252,
Magic,2,9-Aug-22,1,5,41,TRTR,Traskorchestia traskiana,NA,NA,
Magic,2,9-Aug-22,1,5,41,TRTR,Traskorchestia traskiana,10.44,0.0286,
Magic,2,9-Aug-22,1,5,41,TRTR,Traskorchestia traskiana,11.3,0.0347,
Magic,2,9-Aug-22,1,5,41,TRTR,Traskorchestia traskiana,11.24,0.0349,
Magic,2,9-Aug-22,1,5,41,TRTR,Traskorchestia traskiana,12.39,0.0375,
Magic,2,9-Aug-22,1,5,41,TRTR,Traskorchestia traskiana,10.31,0.0238,
Magic,2,9-Aug-22,1,5,41,TRTR,Traskorchestia traskiana,11.5,0.0378,
Magic,2,9-Aug-22,1,5,41,TRTR,Traskorchestia traskiana,10.32,0.0255,
Magic,2,9-Aug-22,1,5,41,TRTR,Traskorchestia traskiana,6.03,0.0053,
Magic,2,9-Aug-22,1,5,41,TRTR,Traskorchestia traskiana,10.11,0.0274,
Magic,2,9-Aug-22,1,5,41,TRTR,Traskorchestia traskiana,10.37,0.0488,
Magic,2,9-Aug-22,1,5,41,TRTR,Traskorchestia traskiana,11.95,0.0568,
Magic,2,9-Aug-22,1,5,41,TRTR,Traskorchestia traskiana,10.62,0.0241,
Magic,2,9-Aug-22,1,5,41,TRTR,Traskorchestia traskiana,10.15,0.0387,
Magic,2,9-Aug-22,1,5,41,TRTR,Traskorchestia traskiana,7.15,0.01,
Magic,2,9-Aug-22,1,5,41,TRTR,Traskorchestia traskiana,5.66,0.0093,
Magic,2,9-Aug-22,1,5,41,TRTR,Traskorchestia traskiana,10.51,0.0237,
Magic,2,9-Aug-22,1,5,41,TRTR,Traskorchestia traskiana,8.12,0.0224,
Magic,2,9-Aug-22,1,5,41,TRTR,Traskorchestia traskiana,10.91,0.0298,
Magic,2,9-Aug-22,1,5,41,TRTR,Traskorchestia traskiana,10.89,0.0261,
Magic,2,9-Aug-22,1,5,41,TRTR,Traskorchestia traskiana,11.02,0.0263,
Magic,2,9-Aug-22,1,5,41,TRTR,Traskorchestia traskiana,11.92,0.0418,
Magic,2,9-Aug-22,1,5,41,TRTR,Traskorchestia traskiana,11.71,0.0307,
Magic,2,9-Aug-22,1,5,41,TRTR,Traskorchestia traskiana,6.86,0.0069,
Magic,2,9-Aug-22,1,5,41,TRTR,Traskorchestia traskiana,5.81,0.004,
Magic,2,9-Aug-22,1,5,41,TRTR,Traskorchestia traskiana,6.31,0.0053,
Magic,2,9-Aug-22,1,5,41,TRTR,Traskorchestia traskiana,10.8,0.0217,
Magic,2,9-Aug-22,1,5,41,TRTR,Traskorchestia traskiana,NA,NA,
Magic,2,9-Aug-22,1,5,41,TRTR,Traskorchestia traskiana,5.89,0.0043,
Magic,2,9-Aug-22,1,5,41,TRTR,Traskorchestia traskiana,10.6,0.0243,
Magic,2,9-Aug-22,1,5,41,TRTR,Traskorchestia traskiana,NA,NA,
Magic,2,9-Aug-22,1,5,41,TRTR,Traskorchestia traskiana,6.88,0.0033,
Magic,2,9-Aug-22,2,1,2,TRTR,Traskorchestia traskiana,11.55,0.0413,
Magic,2,9-Aug-22,2,1,2,TRTR,Traskorchestia traskiana,9.34,0.0486,
OldSitka,4,12-Aug-22,2,1,0,NA,NA,NA,NA,
OldSitka,4,12-Aug-22,2,2,0,NA,NA,NA,NA,
OldSitka,4,12-Aug-22,2,3,0,NA,NA,NA,NA,
OldSitka,4,12-Aug-22,2,4,0,NA,NA,NA,NA,
OldSitka,4,12-Aug-22,2,5,0,NA,NA,NA,NA,
OldSitka,4,12-Aug-22,1,1,0,NA,NA,NA,NA,
OldSitka,4,12-Aug-22,1,2,0,NA,NA,NA,NA,
OldSitka,4,12-Aug-22,1,3,0,NA,NA,NA,NA,
OldSitka,4,12-Aug-22,1,4,0,NA,NA,NA,NA,
OldSitka,4,12-Aug-22,1,5,0,NA,NA,NA,NA,
OldSitka,4,12-Aug-22,3,1,0,NA,NA,NA,NA,
OldSitka,4,12-Aug-22,3,2,0,NA,NA,NA,NA,
OldSitka,4,12-Aug-22,3,3,0,NA,NA,NA,NA,
OldSitka,4,12-Aug-22,3,4,0,NA,NA,NA,NA,
OldSitka,4,12-Aug-22,3,5,0,NA,NA,NA,NA,
Ferry,3,11-Aug-22,1,1,0,NA,NA,NA,NA,
Ferry,3,11-Aug-22,1,2,10,TRTR,Traskorchestia traskiana,NA,NA,
Ferry,3,11-Aug-22,1,2,10,ISOPOD,NA,4.08,0.0027,
Ferry,3,11-Aug-22,1,2,10,ISOPOD,NA,3.88,0.0015,
Ferry,3,11-Aug-22,1,2,10,ISOPOD,NA,3.66,0.0012,
Ferry,3,11-Aug-22,1,2,10,ISOPOD,NA,NA,NA,
Ferry,3,11-Aug-22,1,2,10,ISOPOD,NA,4.25,0.0014,
Ferry,3,11-Aug-22,1,2,10,ISOPOD,NA,3.89,0.0018,
Ferry,3,11-Aug-22,1,2,10,ISOPOD,NA,4.59,0.0024,
Ferry,3,11-Aug-22,1,2,10,ISOPOD,NA,NA,NA,
Ferry,3,11-Aug-22,1,2,10,OTHER,NA,NA,0.0038,Rove Beetle: Staphylinidae
Ferry,3,11-Aug-22,1,3,5,ISOPOD,NA,3.78,0.0011,
Ferry,3,11-Aug-22,1,3,5,ISOPOD,NA,4.46,0.0019,
Ferry,3,11-Aug-22,1,3,5,ISOPOD,NA,4.91,0.0015,
Ferry,3,11-Aug-22,1,3,5,ISOPOD,NA,4.74,0.0025,
Ferry,3,11-Aug-22,1,3,5,ISOPOD,NA,4.2,0.0014,
Ferry,3,11-Aug-22,1,4,5,TRTR,Traskorchestia traskiana,9.92,0.0146,
Ferry,3,11-Aug-22,1,4,5,TRTR,Traskorchestia traskiana,8.1,0.0123,
Ferry,3,11-Aug-22,1,4,5,TRTR,Traskorchestia traskiana,9.88,0.015,
Ferry,3,11-Aug-22,1,4,5,TRTR,Traskorchestia traskiana,8.04,0.0102,
Ferry,3,11-Aug-22,1,4,5,TRTR,Traskorchestia traskiana,NA,NA,
Ferry,3,11-Aug-22,1,5,0,NA,NA,NA,NA,
Magic,2,9-Aug-22,2,5,8,TRTR,Traskorchestia traskiana,10.34,0.037,
Magic,2,9-Aug-22,2,5,8,TRTR,Traskorchestia traskiana,10.17,0.0376,
Magic,2,9-Aug-22,2,5,8,TRTR,Traskorchestia traskiana,8.1,0.0196,
Magic,2,9-Aug-22,2,5,8,TRTR,Traskorchestia traskiana,8.57,0.0126,
Magic,2,9-Aug-22,2,5,8,TRTR,Traskorchestia traskiana,10.29,0.0309,
Magic,2,9-Aug-22,2,5,8,TRTR,Traskorchestia traskiana,6.11,0.0056,
Magic,2,9-Aug-22,2,5,8,TRTR,Traskorchestia traskiana,4.37,0.0022,
Magic,2,9-Aug-22,2,5,8,OTHER,NA,NA,0.0041,Kinda seethrough. Amphipod 3
Magic,2,9-Aug-22,3,1,7,TRTR,Traskorchestia traskiana,14.49,0.1149,
Magic,2,9-Aug-22,3,1,7,TRTR,Traskorchestia traskiana,15.18,0.1045,
Magic,2,9-Aug-22,3,1,7,TRTR,Traskorchestia traskiana,11.93,0.0765,
Magic,2,9-Aug-22,3,1,7,TRTR,Traskorchestia traskiana,12.68,0.0543,
Magic,2,9-Aug-22,3,1,7,TRTR,Traskorchestia traskiana,10.94,0.0466,
Magic,2,9-Aug-22,3,1,7,TRTR,Traskorchestia traskiana,11.74,0.0449,
Magic,2,9-Aug-22,3,1,7,TRTR,Traskorchestia traskiana,9.53,0.0315,
Magic,2,9-Aug-22,3,2,9,TRTR,Traskorchestia traskiana,10.58,0.0324,
Magic,2,9-Aug-22,3,2,9,TRTR,Traskorchestia traskiana,9.84,0.0239,
Magic,2,9-Aug-22,3,2,9,TRTR,Traskorchestia traskiana,10.23,0.0274,
Magic,2,9-Aug-22,3,2,9,TRTR,Traskorchestia traskiana,10.1,0.0307,
Magic,2,9-Aug-22,3,2,9,TRTR,Traskorchestia traskiana,10.89,0.0328,
Magic,2,9-Aug-22,3,2,9,TRTR,Traskorchestia traskiana,12.33,0.0541,
Magic,2,9-Aug-22,3,2,9,TRTR,Traskorchestia traskiana,10.76,0.0318,
Magic,2,9-Aug-22,3,2,9,ISOPOD,NA,4.87,0.0029,
Magic,2,9-Aug-22,3,2,9,ISOPOD,NA,4.49,0.003,
Magic,2,9-Aug-22,3,3,34,TRTR,Traskorchestia traskiana,NA,NA,
Magic,2,9-Aug-22,3,3,34,ISOPOD,NA,NA,NA,
Magic,2,9-Aug-22,3,3,34,TRTR,Traskorchestia traskiana,10.21,0.0337,
Magic,2,9-Aug-22,3,3,34,TRTR,Traskorchestia traskiana,10.11,0.0299,
Magic,2,9-Aug-22,3,3,34,TRTR,Traskorchestia traskiana,12.3,0.07,
Magic,2,9-Aug-22,3,3,34,TRTR,Traskorchestia traskiana,10.62,0.0434,
Magic,2,9-Aug-22,3,3,34,TRTR,Traskorchestia traskiana,6.68,0.0117,
Magic,2,9-Aug-22,3,3,34,TRTR,Traskorchestia traskiana,11.13,0.0275,
Magic,2,9-Aug-22,3,3,34,TRTR,Traskorchestia traskiana,5.33,0.0069,
Magic,2,9-Aug-22,3,3,34,TRTR,Traskorchestia traskiana,6.38,0.0092,
Magic,2,9-Aug-22,3,3,34,TRTR,Traskorchestia traskiana,4.92,0.0072,
Magic,2,9-Aug-22,3,3,34,TRTR,Traskorchestia traskiana,5.22,0.0043,
Magic,2,9-Aug-22,3,3,34,TRTR,Traskorchestia traskiana,6.56,0.0093,
Magic,2,9-Aug-22,3,3,34,TRTR,Traskorchestia traskiana,5.25,0.0045,
Magic,2,9-Aug-22,3,3,34,ISOPOD,NA,5.96,0.0063,
Magic,2,9-Aug-22,3,3,34,ISOPOD,NA,5.59,0.0054,
Magic,2,9-Aug-22,3,3,34,ISOPOD,NA,5.9,0.008,
Magic,2,9-Aug-22,3,3,34,ISOPOD,NA,4.52,0.0026,
Magic,2,9-Aug-22,3,3,34,ISOPOD,NA,4.05,0.0022,
Magic,2,9-Aug-22,3,3,34,ISOPOD,NA,5.75,0.0032,
Magic,2,9-Aug-22,3,3,34,ISOPOD,NA,5.99,0.0071,
Magic,2,9-Aug-22,3,3,34,ISOPOD,NA,4.5,0.0022,
Magic,2,9-Aug-22,3,3,34,ISOPOD,NA,3.87,0.0018,
Magic,2,9-Aug-22,3,3,34,ISOPOD,NA,4.6,0.0036,
Magic,2,9-Aug-22,3,3,34,ISOPOD,NA,3.14,0.0018,
Magic,2,9-Aug-22,3,3,34,ISOPOD,NA,3.59,0.008,
Magic,2,9-Aug-22,3,3,34,ISOPOD,NA,3.41,0.0018,
Magic,2,9-Aug-22,3,3,34,ISOPOD,NA,3.34,0.0011,
Magic,2,9-Aug-22,3,3,34,ISOPOD,NA,4.41,0.0022,
Magic,2,9-Aug-22,3,3,34,ISOPOD,NA,3.41,0.0009,
Magic,2,9-Aug-22,3,3,34,ISOPOD,NA,5.6,0.0048,
Magic,2,9-Aug-22,3,3,34,ISOPOD,NA,5.25,0.0048,
Magic,2,9-Aug-22,3,3,34,ISOPOD,NA,4.7,0.0017,
Magic,2,9-Aug-22,3,3,34,ISOPOD,NA,4.65,0.0032,
Magic,2,9-Aug-22,3,4,22,TRTR,Traskorchestia traskiana,4.95,0.0022,
Magic,2,9-Aug-22,3,4,22,TRTR,Traskorchestia traskiana,4.86,0.0029,
Magic,2,9-Aug-22,3,4,22,TRTR,Traskorchestia traskiana,4.65,0.0023,
Magic,2,9-Aug-22,3,4,22,TRTR,Traskorchestia traskiana,6.25,0.0065,
Magic,2,9-Aug-22,3,4,22,TRTR,Traskorchestia traskiana,10.72,0.0305,
Magic,2,9-Aug-22,3,4,22,TRTR,Traskorchestia traskiana,14.5,0.1182,
Magic,2,9-Aug-22,3,4,22,TRTR,Traskorchestia traskiana,15.98,0.1326,
Magic,2,9-Aug-22,3,4,22,TRTR,Traskorchestia traskiana,12.46,0.044,
Magic,2,9-Aug-22,3,4,22,TRTR,Traskorchestia traskiana,8.93,0.024,
Magic,2,9-Aug-22,3,4,22,TRTR,Traskorchestia traskiana,14.7,0.0759,
Magic,2,9-Aug-22,3,4,22,TRTR,Traskorchestia traskiana,10.37,0.0276,
Magic,2,9-Aug-22,3,4,22,TRTR,Traskorchestia traskiana,18.95,0.1459,
Magic,2,9-Aug-22,3,4,22,TRTR,Traskorchestia traskiana,NA,NA,
Magic,2,9-Aug-22,3,4,22,TRTR,Traskorchestia traskiana,NA,NA,
Magic,2,9-Aug-22,3,4,22,TRTR,Traskorchestia traskiana,10.73,0.0336,
Magic,2,9-Aug-22,3,4,22,TRTR,Traskorchestia traskiana,11.19,0.0317,
Magic,2,9-Aug-22,3,4,22,TRTR,Traskorchestia traskiana,14.53,0.0874,
Magic,2,9-Aug-22,3,4,22,TRTR,Traskorchestia traskiana,14.13,0.0781,
Magic,2,9-Aug-22,3,4,22,TRTR,Traskorchestia traskiana,10.16,0.0305,
Magic,2,9-Aug-22,3,4,22,TRTR,Traskorchestia traskiana,16.41,0.117,
Magic,2,9-Aug-22,3,4,22,TRTR,Traskorchestia traskiana,12.75,0.0511,
Magic,2,9-Aug-22,3,4,22,TRTR,Traskorchestia traskiana,11.98,0.0479,
Magic,2,9-Aug-22,3,5,57,TRTR,Traskorchestia traskiana,6.93,0.0108,
Magic,2,9-Aug-22,3,5,57,TRTR,Traskorchestia traskiana,7.7,0.0132,
Magic,2,9-Aug-22,3,5,57,TRTR,Traskorchestia traskiana,6.23,0.0099,
Magic,2,9-Aug-22,3,5,57,TRTR,Traskorchestia traskiana,NA,NA,
Magic,2,9-Aug-22,3,5,57,TRTR,Traskorchestia traskiana,6.44,0.0064,
Magic,2,9-Aug-22,3,5,57,TRTR,Traskorchestia traskiana,6.73,0.0085,
Magic,2,9-Aug-22,3,5,57,TRTR,Traskorchestia traskiana,6.83,0.0079,
Magic,2,9-Aug-22,3,5,57,TRTR,Traskorchestia traskiana,6.01,0.0059,
Magic,2,9-Aug-22,3,5,57,TRTR,Traskorchestia traskiana,6.8,0.0091,
Magic,2,9-Aug-22,3,5,57,TRTR,Traskorchestia traskiana,6.69,0.0079,
Magic,2,9-Aug-22,3,5,57,TRTR,Traskorchestia traskiana,8.81,0.0188,
Magic,2,9-Aug-22,3,5,57,TRTR,Traskorchestia traskiana,10.64,0.0255,
Magic,2,9-Aug-22,3,5,57,TRTR,Traskorchestia traskiana,7.64,0.0111,
Magic,2,9-Aug-22,3,5,57,TRTR,Traskorchestia traskiana,6.84,0.0107,
Magic,2,9-Aug-22,3,5,57,TRTR,Traskorchestia traskiana,9.98,0.0287,
Magic,2,9-Aug-22,3,5,57,TRTR,Traskorchestia traskiana,9.66,0.0267,
Magic,2,9-Aug-22,3,5,57,TRTR,Traskorchestia traskiana,5.61,0.0064,
Magic,2,9-Aug-22,3,5,57,TRTR,Traskorchestia traskiana,7,0.0095,
Magic,2,9-Aug-22,3,5,57,TRTR,Traskorchestia traskiana,7.84,0.0135,
Magic,2,9-Aug-22,3,5,57,TRTR,Traskorchestia traskiana,7.35,0.0085,
Magic,2,9-Aug-22,3,5,57,TRTR,Traskorchestia traskiana,8.95,0.0213,
Magic,2,9-Aug-22,3,5,57,TRTR,Traskorchestia traskiana,6.65,0.0092,
Magic,2,9-Aug-22,3,5,57,TRTR,Traskorchestia traskiana,8.62,0.0162,
Magic,2,9-Aug-22,3,5,57,TRTR,Traskorchestia traskiana,9.12,0.0259,
Magic,2,9-Aug-22,3,5,57,TRTR,Traskorchestia traskiana,7.01,0.0092,
Magic,2,9-Aug-22,3,5,57,TRTR,Traskorchestia traskiana,7.59,0.012,
Magic,2,9-Aug-22,3,5,57,TRTR,Traskorchestia traskiana,5.25,0.0064,
Magic,2,9-Aug-22,3,5,57,TRTR,Traskorchestia traskiana,8.2,0.0197,
Magic,2,9-Aug-22,3,5,57,TRTR,Traskorchestia traskiana,5.56,0.0046,
Magic,2,9-Aug-22,3,5,57,TRTR,Traskorchestia traskiana,7.48,0.0142,
Magic,2,9-Aug-22,3,5,57,TRTR,Traskorchestia traskiana,4.08,0.0017,
Magic,2,9-Aug-22,3,5,57,TRTR,Traskorchestia traskiana,8.28,0.0169,
Magic,2,9-Aug-22,3,5,57,TRTR,Traskorchestia traskiana,6.32,0.0051,
Magic,2,9-Aug-22,3,5,57,TRTR,Traskorchestia traskiana,9.34,0.0209,
Magic,2,9-Aug-22,3,5,57,TRTR,Traskorchestia traskiana,7.79,0.0124,
Magic,2,9-Aug-22,3,5,57,TRTR,Traskorchestia traskiana,7.02,0.0107,
Magic,2,9-Aug-22,3,5,57,TRTR,Traskorchestia traskiana,8.17,0.0158,
Magic,2,9-Aug-22,3,5,57,TRTR,Traskorchestia traskiana,6.21,0.0084,
Magic,2,9-Aug-22,3,5,57,TRTR,Traskorchestia traskiana,8.14,0.0166,
Magic,2,9-Aug-22,3,5,57,TRTR,Traskorchestia traskiana,9.96,0.0233,
Magic,2,9-Aug-22,3,5,57,TRTR,Traskorchestia traskiana,7.02,0.0101,
Magic,2,9-Aug-22,3,5,57,TRTR,Traskorchestia traskiana,11.93,0.0523,
