site,latitude,longitude,sampling_date,beach_width,buffer_100m,buffer_200m,wave_exposure,aspect,slope_mean,slope_1,slope_2,slope_3,slope_4,slope_5,slope_6,slope_7,slope_8,slope_9,slope_10,boulder_1,boulder_2,boulder_3,boulder_4,boulder_5,boulder_6,boulder_7,boulder_8,boulder_9,boulder_10,cobble_1,cobble_2,cobble_3,cobble_4,cobble_5,cobble_6,cobble_7,cobble_8,cobble_9,cobble_10,pebble_1,pebble_2,pebble_3,pebble_4,pebble_5,pebble_6,pebble_7,pebble_8,pebble_9,pebble_10,granule_1,granule_2,granule_3,granule_4,granule_5,granule_6,granule_7,granule_8,granule_9,granule_10,sand_1,sand_2,sand_3,sand_4,sand_5,sand_6,sand_7,sand_8,sand_9,sand_10,wind_direction,wind_speed,wave_height,wave_period,high_tide,human_activity
OldSitka,57.13132,-135.37245,12-Aug-22,75,12551,40549,Protected,22,9.7,5,13,6,6,15,11,10,6,18,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,95,100,95,90,100,100,100,100,0,0,5,0,5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,329.7,3.82,1.188,8.117,3.5,Med
Private,57.04456,-135.30503,17-Aug-22,23,7534,14264,Protected,269,13.9,11,12,7,15,17,18,16,12,12,19,0,0,0,0,0,0,0,0,0,0,10,20,10,10,0,0,5,0,10,0,90,80,90,90,100,100,95,100,90,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143.8,13.039,3.437,7.875,2.47,None
Sandy,57.07611,-135.37424,6-Aug-22,62,16530,26971,Semi-protected,215,18.3,27,22,24,20,17,11,19,12,11,20,0,0,0,0,0,0,0,0,0,0,55,20,25,20,15,40,20,0,30,40,45,80,75,80,85,60,80,100,70,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,244.7,6.984,2.438,8.263,1.91,Low
Shotgun,57.12682,-135.38631,29-Aug-22,20,2061,5307,Protected,350,10.7,5,11,8,11,5,10,15,19,18,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,70,80,75,85,80,90,85,80,90,20,30,20,25,15,20,10,15,20,10,0,0,0,0,0,0,0,0,0,0,166,6.719,1.522,8.71,2.97,None
Totem,57.04743,-135.31858,9-Sep-22,202,17869,60308,Protected,226,11.2,14,8,6,5,16,18,8,17,12,8,0,0,0,0,0,0,0,0,0,0,15,10,20,10,5,0,15,25,40,30,80,70,80,90,95,100,85,75,60,70,5,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195,5.117,1.307,6.407,3.29,High
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
