site,transect_number,species_ID,species,biomass
Indian,2,PYRO,Pyropia spp.,11.124
Indian,2,ULLA,Ulva latuca,142.164
Indian,2,ZOMA,Zostera marina,25.084
Indian,3,AHFA,Ahnfeltia fastigiata,5.734
Indian,3,DEAC,Desmarestia aculeata,63.45
Indian,3,FUDI,Fucus distichus,125998
Indian,3,GRCA,Grateloupia californica,2.018
Indian,3,NEOX,Neorhodomela spp.,1.534
Indian,3,SALA,Saccharina latissima,8.566
Indian,3,ULLA,Ulva latuca,51.63
Indian,3,ZOMA,Zostera marina,30.132
Jamestown,1,AHFA,Ahnfeltia fastigiata,1.507
Jamestown,1,FUDI,Fucus distichus,3155
Jamestown,1,ZOMA,Zostera marina,23.5
Jamestown,2,FUDI,Fucus distichus,895.9
Jamestown,2,PYLI,Pylaiella littoralis,0.035
Jamestown,2,ZOMA,Zostera marina,2
Jamestown,3,AHFA,Ahnfeltia fastigiata,2.765
Jamestown,3,FUDI,Fucus distichus,2470
Jamestown,3,ZOMA,Zostera marina,10.75
Magic,1,DEAC,Desmarestia aculeata,260
Magic,1,FUDI,Fucus distichus,2745
Magic,1,HAGL,Halosacccion glandiforme,3
Magic,1,MAPY,Macrocystis pyrifera,650
Magic,1,NELA,Neorhodomela larix,1
Magic,1,ZOMA,Zostera marina,1661
Magic,2,DEAC,Desmarestia aculeata,110
Magic,2,FUDI,Fucus distichus,2060
Magic,2,MAPY,Macrocystis pyrifera,116
Magic,2,NELA,Neorhodomela larix,45
Magic,2,ULLA,Ulva latuca,6
Magic,2,ZOMA,Zostera marina,1625
Magic,3,DEAC,Desmarestia aculeata,466
Magic,3,FUDI,Fucus distichus,2770
Magic,3,MAPY,Macrocystis pyrifera,362
Magic,3,ZOMA,Zostera marina,3185
Mosquito,1,DEAC,Desmarestia aculeata,0.588
Mosquito,1,FUDI,Fucus distichus,6311
Mosquito,1,GRCA,Grateloupia californica,8.931999999999999
Mosquito,1,MAST,Mastocarpus spp.,0.963
Mosquito,1,NELA,Neorhodomela larix,6.831
Mosquito,1,POPA,Polysiphonia pacifica,4.92
Mosquito,1,ULIN,Ulva intestinalis,0.7939999999999999
Mosquito,1,ULLA,Ulva latuca,2.434
Mosquito,1,ZOMA,Zostera marina,50.958
Mosquito,2,AHFA,Ahnfeltia fastigiata,0.163
Mosquito,2,DEAC,Desmarestia aculeata,0.212
Mosquito,2,FUDI,Fucus distichus,6025.5
Mosquito,2,GRCA,Grateloupia californica,13.236
Mosquito,2,MAPY,Macrocystis pyrifera,120
Mosquito,2,MAST,Mastocarpus spp.,1.945
Mosquito,2,NELA,Neorhodomela larix,1.864
Mosquito,2,POPA,Polysiphonia pacifica,2.8
Mosquito,2,ULIN,Ulva intestinalis,1.3479999999999999
Mosquito,2,ZOMA,Zostera marina,44.208
Mosquito,3,AHFA,Ahnfeltia fastigiata,1.624
Mosquito,3,FUDI,Fucus distichus,5819
Mosquito,3,GRCA,Grateloupia californica,13.572
Mosquito,3,MAST,Mastocarpus spp.,1.376
Mosquito,3,NELA,Neorhodomela larix,3.594
Mosquito,3,NELU,Nereocystis luetkeana,7
Mosquito,3,ODFL,Odonthalia floccosa,0.727
Mosquito,3,ULIN,Ulva intestinalis,1.207
Mosquito,3,ZOMA,Zostera marina,22.994
NetIsland,1,DEAC,Desmarestia aculeata,5.637
NetIsland,1,FUDI,Fucus distichus,1020.718
NetIsland,1,MAPY,Macrocystis pyrifera,4775
NetIsland,1,NELA,Neorhodomela larix,3.721
NetIsland,1,ZOMA,Zostera marina,63.769
NetIsland,2,DEAC,Desmarestia aculeata,7.107
NetIsland,2,FUDI,Fucus distichus,1150
NetIsland,2,MAPY,Macrocystis pyrifera,14.627
NetIsland,2,NELA,Neorhodomela larix,0.23
NetIsland,2,ZOMA,Zostera marina,77.259
NetIsland,3,DEAC,Desmarestia aculeata,65
NetIsland,3,FUDI,Fucus distichus,6600
NetIsland,3,GRCA,Grateloupia californica,0.258
NetIsland,3,MAPY,Macrocystis pyrifera,37
NetIsland,3,NELA,Neorhodomela larix,15
NetIsland,3,ZOMA,Zostera marina,127.75
OldSitka,1,CHFL,Chordaria flagelliformis,2.5460000000000003
OldSitka,1,CLSE,Cladophora sericea,8.172
OldSitka,1,ENMU,Endocladia muricata,0.15
OldSitka,1,FUDI,Fucus distichus,552
OldSitka,1,MAST,Mastocarpus spp.,5.711
OldSitka,1,PYLI,Pylaiella littoralis,13.598
OldSitka,1,ULIN,Ulva intestinalis,1.007
OldSitka,1,ZOMA,Zostera marina,1.747
OldSitka,2,CHFL,Chordaria flagelliformis,0.411
OldSitka,2,CLSE,Cladophora sericea,6.243
OldSitka,2,ENMU,Endocladia muricata,1.254
OldSitka,2,FUDI,Fucus distichus,788.5
OldSitka,2,MAST,Mastocarpus spp.,6.455
OldSitka,2,NEOR,Neorhodomela oregona,0.47
OldSitka,2,PYLI,Pylaiella littoralis,10.149000000000001
OldSitka,2,ULIN,Ulva intestinalis,2.767
OldSitka,2,ZOMA,Zostera marina,0.721
OldSitka,3,CHFL,Chordaria flagelliformis,0.943
OldSitka,3,CLSE,Cladophora sericea,8.619
OldSitka,3,DUAL,Dumontia alaskana,0.553
OldSitka,3,ENMU,Endocladia muricata,0.383
OldSitka,3,FUDI,Fucus distichus,1853
OldSitka,3,GLFU,Gloiopeltis furcata,0.158
OldSitka,3,MAST,Mastocarpus spp.,8.836
OldSitka,3,NEOR,Neorhodomela oregona,13.522
OldSitka,3,PYLI,Pylaiella littoralis,38.361000000000004
OldSitka,3,ULIN,Ulva intestinalis,5.368
OldSitka,3,ULPR,Ulva prolifera,6.869
OldSitka,3,ZOMA,Zostera marina,4.719
Private,1,AHFA,Ahnfeltia fastigiata,0.786
Private,1,CHEX,Chondracanthus exasperatus,1.418
Private,1,DEAC,Desmarestia aculeata,55
Private,1,FUDI,Fucus distichus,8404
Private,1,GRCA,Grateloupia californica,0.152
Private,1,NELA,Neorhodomela larix,2.669
Private,1,PAPA,Palmaria palmata,0.242
Private,1,PTSE,Ptilota serrata,16.772
Private,1,PYLI,Pylaiella littoralis,68
Private,1,SALA,Saccharina latissima,0.562
Private,1,ZOMA,Zostera marina,75
Private,2,CHEX,Chondracanthus exasperatus,4.335
Private,2,DEAC,Desmarestia aculeata,40
Private,2,FUDI,Fucus distichus,8204
Private,2,GRCA,Grateloupia californica,0.096
Private,2,MAST,Mastocarpus spp.,1.682
Private,2,NELA,Neorhodomela larix,12
Private,2,NEOX,Neorhodomela spp.,2.851
Private,2,PTSE,Ptilota serrata,1
Private,2,PYLI,Pylaiella littoralis,14.798
Private,2,ZOMA,Zostera marina,36.5
Private,3,CHEX,Chondracanthus exasperatus,3.422
Private,3,FUDI,Fucus distichus,4692
Private,3,GRCA,Grateloupia californica,1.081
Private,3,NELA,Neorhodomela larix,9.636
Private,3,PTSE,Ptilota serrata,1.33
Private,3,PYLI,Pylaiella littoralis,35
Private,3,ZOMA,Zostera marina,65.25
Sandy,1,DUAL,Dumontia alaskana,6.2
Sandy,1,FUDI,Fucus distichus,405
Sandy,1,MAPY,Macrocystis pyrifera,20
Sandy,1,ZOMA,Zostera marina,29
Sandy,2,FUDI,Fucus distichus,90.5
Sandy,2,HAGL,Halosacccion glandiforme,2.2
Sandy,2,ZOMA,Zostera marina,6
Sandy,3,FUDI,Fucus distichus,37.4
Sandy,3,HAGL,Halosacccion glandiforme,5.8
Sandy,3,ZOMA,Zostera marina,1.8
Shotgun,1,FUDI,Fucus distichus,436
Shotgun,1,HAGL,Halosacccion glandiforme,0.579
Shotgun,1,LEMA,Leathesia marina,6.75
Shotgun,1,MAPY,Macrocystis pyrifera,1.976
Shotgun,1,MAST,Mastocarpus spp.,1.56
Shotgun,1,NELA,Neorhodomela larix,1.7630000000000001
Shotgun,1,POPA,Polysiphonia pacifica,1.275
Shotgun,1,PYRO,Pyropia spp.,0.683
Shotgun,1,SALA,Saccharina latissima,2.133
Shotgun,1,ULLA,Ulva latuca,4.556
Shotgun,1,ZOMA,Zostera marina,41.407999999999994
Shotgun,2,DEAC,Desmarestia aculeata,0.381
Shotgun,2,FUDI,Fucus distichus,398
Shotgun,2,LEMA,Leathesia marina,2.11
Shotgun,2,MAST,Mastocarpus spp.,0.047
Shotgun,2,NELA,Neorhodomela larix,0.328
Shotgun,2,ODFL,Odonthalia floccosa,0.835
Shotgun,2,POPA,Polysiphonia pacifica,0.569
Shotgun,2,PTSE,Ptilota serrata,0.052
Shotgun,2,SALA,Saccharina latissima,0.23
Shotgun,2,ULLA,Ulva latuca,12.687
Shotgun,2,ULPR,Ulva prolifera,2.46
Shotgun,2,ZOMA,Zostera marina,13.125
Shotgun,3,FUDI,Fucus distichus,441
Shotgun,3,LEMA,Leathesia marina,5.18
Shotgun,3,MAPY,Macrocystis pyrifera,105
Shotgun,3,ULLA,Ulva latuca,6.451
Shotgun,3,ZOMA,Zostera marina,77.18799999999999
Totem,1,ACCO,Acrosiphonia coalita,1.306
Totem,1,AHFA,Ahnfeltia fastigiata,1.602
Totem,1,DEAC,Desmarestia aculeata,10.957
Totem,1,FUDI,Fucus distichus,37483
Totem,1,NELA,Neorhodomela larix,4.627
Totem,1,ZOMA,Zostera marina,107.422
Totem,2,ACCO,Acrosiphonia coalita,3.81
Totem,2,FUDI,Fucus distichus,46157
Totem,2,GRCA,Grateloupia californica,1.994
Totem,2,HAGL,Halosacccion glandiforme,4.371
Totem,2,ULLA,Ulva latuca,0.356
Totem,2,ZOMA,Zostera marina,74.15199999999999
Totem,3,ACCO,Acrosiphonia coalita,19.662000000000003
Totem,3,AHFA,Ahnfeltia fastigiata,17.682
Totem,3,FUDI,Fucus distichus,69504
Totem,3,GRCA,Grateloupia californica,14.06
Totem,3,NELA,Neorhodomela larix,2.847
Totem,3,SALA,Saccharina latissima,20
Totem,3,ULLA,Ulva latuca,0.33799999999999997
Totem,3,ZOMA,Zostera marina,31.336
