site,transect_number,species_ID,species,percent_cover
Mosquito,3,ULIN,Ulva intestinalis,2.5e-4
Mosquito,3,ZOMA,Zostera marina,6.500000000000001e-4
NetIsland,1,FUDI,Fucus dischitus,0.004699999999999999
NetIsland,1,MAPY,Macrocystis pyrifera,0.027250000000000003
NetIsland,1,WOOD,Wood,0.0015
NetIsland,1,ZOMA,Zostera marina,4.5000000000000004e-4
NetIsland,2,FUDI,Fucus dischitus,0.0154
NetIsland,2,WOOD,Wood,0.00315
NetIsland,3,FUDI,Fucus dischitus,0.0345
OldSitka,1,CHFL,Chordaria flagelliformis,0.0055
OldSitka,1,CLSE,Cladophora sericea,0.00125
OldSitka,1,FUDI,Fucus dischitus,0.04515
OldSitka,1,MAST,Mastocarpus spp.,0.0018
OldSitka,1,ULIN,Ulva intestinalis,0.0010999999999999998
OldSitka,1,ZOMA,Zostera marina,6.500000000000001e-4
OldSitka,2,CLSE,Cladophora sericea,9e-4
OldSitka,2,FUDI,Fucus dischitus,0.03615
OldSitka,2,MAST,Mastocarpus spp.,0.00125
OldSitka,3,CLSE,Cladophora sericea,0.00265
OldSitka,3,FUDI,Fucus dischitus,0.06779999999999999
OldSitka,3,ZOMA,Zostera marina,4.5e-4
Private,1,FUDI,Fucus dischitus,0.08025
Private,2,FUDI,Fucus dischitus,0.0768
Private,2,ZOMA,Zostera marina,7e-4
Private,3,FUDI,Fucus dischitus,0.048900000000000006
Sandy,1,FUDI,Fucus dischitus,0.012
Sandy,1,WOOD,Wood,9.5e-4
Sandy,1,ZOMA,Zostera marina,0.001
Sandy,2,ZOMA,Zostera marina,2e-4
Sandy,3,HAGL,Halosacccion glandiforme,0.0166
Sandy,3,WOOD,Wood,0.0025
Shotgun,1,FUDI,Fucus dischitus,0.01305
Shotgun,2,FUDI,Fucus dischitus,0.006
Shotgun,2,NELA,Neorhodomela larix,4e-4
Shotgun,2,ZOMA,Zostera marina,0.00105
Shotgun,3,FUDI,Fucus dischitus,0.0057
Shotgun,3,LEMA,Leathesia marina,8.500000000000001e-4
Shotgun,3,MAPY,Macrocystis pyrifera,3.5e-4
Shotgun,3,ULLA,Ulva latuca,6.5e-4
Shotgun,3,ZOMA,Zostera marina,0.0025
Totem,1,FISH,Fish (Capelin),0.00165
Totem,1,FUDI,Fucus dischitus,0.15665
Totem,1,ZOMA,Zostera marina,3.5e-4
Totem,2,FISH,Fish (Capelin),0.00585
Totem,2,FUDI,Fucus dischitus,0.30074999999999996
Totem,2,WOOD,Wood,0.0177
Totem,3,FUDI,Fucus dischitus,0.46285
Totem,3,WOOD,Wood,0.02305
