site_name,transect_number,species_ID,species,number_invertebrates,biomass
Private,2,ISOPOD,NA,87,0.1433139673337957
Private,2,OTHER,NA,1,6e-4
Private,2,TRTR,Traskorchestia traskiana,145,1.1250735674060868
Private,3,ISOPOD,NA,10,0.01790901888811633
Private,3,TRTR,Traskorchestia traskiana,43,0.39750747571741496
Sandy,1,TRTR,Traskorchestia traskiana,1,0.062087844078616665
Shotgun,1,ISOPOD,NA,43,0.07022466149162891
Shotgun,1,TRTR,Traskorchestia traskiana,2,0.007877984574288115
Shotgun,2,OTHER,NA,2,0.0011
Shotgun,2,TRTR,Traskorchestia traskiana,3,0.01631730622339412
Shotgun,3,ISOPOD,NA,1,0.002989657635849639
Shotgun,3,OTHER,NA,6,0.0049
Totem,1,ISOPOD,NA,14,0.0517226843955196
Totem,1,OTHER,NA,23,0.16300000000000003
Totem,1,TRTR,Traskorchestia traskiana,96,1.3754819985049747
Totem,2,ISOPOD,NA,20,0.04410496097096183
Totem,2,OTHER,NA,21,0.0714
Totem,2,TRTR,Traskorchestia traskiana,140,2.1462473298463274
Totem,3,ISOPOD,NA,152,0.23355078966945816
Totem,3,OTHER,NA,35,0.2918
Totem,3,TRTR,Traskorchestia traskiana,788,7.941221329904958
